id,model,year,hours,price,source,region
TS24-1,8FBET,2012,5690,6126,truckscout24,DE
TS24-2,8FBET,2012,5690,6126,truckscout24,DE
TS24-3,8FBET,2012,5690,6126,truckscout24,DE
TS24-4,8FBET,2013,1187,11890,truckscout24,DE
TS24-5,8FBET,2013,393,12890,truckscout24,DE
TS24-6,8FBET,2016,1842,11890,truckscout24,DE
TS24-7,8FBET,2014,2849,11890,truckscout24,DE
TS24-8,8FBET,2012,5690,6126,truckscout24,DE
TS24-9,8FBET,2012,5690,6126,truckscout24,DE
TS24-10,8FBET,2012,5690,6126,truckscout24,DE
TS24-11,8FBET,2013,1187,11890,truckscout24,DE
TS24-12,8FBET,2013,393,12890,truckscout24,DE
TS24-13,8FBET,2016,1842,11890,truckscout24,DE
TS24-14,8FBET,2014,2849,11890,truckscout24,DE
TS24-15,8FBET,2012,5690,6126,truckscout24,DE
TS24-16,8FBET,2012,5690,6126,truckscout24,DE
TS24-17,8FBET,2012,5690,6126,truckscout24,DE
TS24-18,8FBET,2013,1187,11890,truckscout24,DE
TS24-19,8FBET,2013,393,12890,truckscout24,DE
TS24-20,8FBET,2016,1842,11890,truckscout24,DE
TS24-21,8FBET,2014,2849,11890,truckscout24,DE
